
Setup: imagesize =128 cellsize = 32 type = SVM nu = 0.015000

Computation time in seconds: 	1202


==========================================
RESULTS
	as 0	as 1	as 2	as 3	as 4	as 5	as 6	as 7	as 8	as 9	as 10	as 11	as 12	as 13	as 14	as 15	as 16	as 17	as 18	as 19	as 20	as 21	as 22	as 23	as 24	as 25	as 26	as 27	as 28	as 29	as 30	as 31	as 32	as 33	as 34	as 35	as 36	as 37	as 38	as 39	as 40	as 41	as 42	as 43	as 44	as 45	as 46	as 47	as 48	as 49	as 50	as 51	as 52	as 53	as 54	as 55	as 56	as 57	as 58	as 59	as 60	as 61	as 62	as 63	as 64	as 65	as 66	as 67	as 68	as 69	as 70	as 71	as 72	as 73	as 74	as 75	as 76	as 77	as 78	as 79	as 80	as 81	as 82	as 83	as 84	as 85	as 86	as 87	as 88	as 89	as 90	as 91	as 92	as 93	as 94	as 95	as 96	as 97	as 98	as 99	as 100	as 101	error
class 0	0.0930233	0	0	0.0232558	0	0	0	0	0.0232558	0	0	0	0	0.0232558	0.0232558	0	0	0.0232558	0	0	0	0	0	0	0.0232558	0.0232558	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0.0232558	0	0.906977
class 1	0.027027	0.405405	0	0	0	0	0	0	0	0	0	0	0.027027	0	0	0	0	0	0	0.027027	0	0	0	0	0	0	0	0	0	0.027027	0	0.027027	0	0	0	0	0.027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.594595
class 2	0.027027	0	0.594595	0	0	0	0	0	0	0	0	0	0	0	0.027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027027	0	0	0	0	0	0	0	0.027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0540541	0	0	0	0	0	0	0	0	0	0	0	0.405405
class 3	0.0243902	0	0	0.170732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0487805	0	0	0.0731707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0487805	0	0	0	0.0243902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.829268
class 4	0	0	0	0	0.326087	0	0	0.0217391	0	0	0	0	0	0	0	0	0	0.0434783	0	0.0652174	0	0	0	0	0	0	0	0	0	0	0.0869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0652174	0	0	0	0	0.0217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.673913
class 5	0.0285714	0	0	0	0	0.542857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.457143
class 6	0.0434783	0	0	0	0	0	0.23913	0	0	0	0	0	0	0	0	0	0	0	0	0.0434783	0	0	0	0.0217391	0	0	0	0	0	0.0652174	0.0217391	0	0	0	0	0	0	0	0	0.0217391	0	0.0217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217391	0	0	0.0217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217391	0.0217391	0	0	0	0	0	0.76087
class 7	0	0	0	0.025	0	0	0	0.3	0	0	0.025	0.025	0	0	0	0	0.025	0	0.025	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
class 8	0.047619	0	0	0	0	0	0	0	0.119048	0	0.0238095	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0.0238095	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.880952
class 9	0	0	0	0	0	0	0	0	0	0.358974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0.025641	0	0	0	0.025641	0	0	0	0	0	0	0.025641	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0.025641	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.641026
class 10	0.02	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0.06	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0.02	0	0	0	0.08	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0.9
class 11	0.02	0	0.02	0.02	0	0	0	0	0.02	0	0	0.2	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0.02	0	0	0.06	0	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.02	0	0	0.02	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.8
